HotelID,HotelName,HotelStarRating,HotelAddress,HotelPhone,HotelEmail,HotelWebsite,room_type,Reviews_count,bed_type,HotelAmenities,NumberOfRooms,AverageRoomRateUSD,CheckInTime,CheckOutTime,LastRenovationDate,DistanceToAirport,RatingAverage,BookingURL,distance_to_center,breakfast,cancellation_policy,prepayment_policy
1,Four Seasons Hotel ,5,"1 Neftchilar Avenue, Baku, Azerbaijan",+994 12 404 2424,reservations.baku@fourseasons.com,www.fourseasons.com/baku,N/A,511 Reviews,N/A,"Spa, Pool, Gym, Free Wi-Fi, Indoor swimming pool, Airport shuttle, Family rooms",171,500$,N/A,N/A,2012,25 km,9.3,https://www.booking.com/hotel/az/four-seasons-baku,0.9,Not included,Free cancellation,No prepayment needed
2,JW Marriott Absheron ,5,"674 Azadliq Square, Baku, Azerbaijan",+994 12 499 8888,jwmarriott.baku@marriott.com,www.marriott.com/baku,N/A,935 Reviews,N/A,"Business Center, Spa, Gym, Indoor swimming pool, Free Wi-Fi, Airport shuttle, Family rooms",243,320$,N/A,N/A,2011,24 km,9.4,https://www.booking.com/hotel/az/jw-marriott-absheron-baku,1.7,Not included,No free cancellation,Prepayment needed
3,"Fairmont Baku , Flame Towers",5,"1A Mehdi Huseyn Street, Baku, Azerbaijan",+994 12 565 4848,baku.reservations@fairmont.com,www.fairmont.com/baku,N/A,1505 Reviews,N/A,"Rooftop Pool, Spa, Free Wi-Fi",318,280$,N/A,N/A,2013,27 km,9.2,https://www.booking.com/hotel/az/fairmont-baku,1.5,Not included,No free cancellation,Prepayment needed
4,Hilton Baku,5,"1B Azadlig Avenue, Baku, Azerbaijan",+994 12 464 5000,hilton.baku@hilton.com,www.hilton.com/baku,N/A,1211 Reviews,N/A,"Executive Lounge, Fitness Center, Indoor Pool",309,300$,N/A,N/A,2010,23 km,9.1,https://www.booking.com/hotel/az/hilton-baku,1.1,Not included,No free cancellation,Prepayment needed
5,Hyatt Regency ,5,"1033 Izmir Street, Baku, Azerbaijan",+994 12 490 1234,baku.regency@hyatt.com,www.hyatt.com/baku,N/A,712 Reviews,N/A,"Spa, Fitness Center, Outdoor Pool",159,270$,N/A,N/A,2009,26 km,9,https://www.booking.com/hotel/az/hyatt-regency-baku,2.1,Not included,No free cancellation,Prepayment needed
6,The Ritz-Carlton,5,"1 Heydar Aliyev Avenue, Baku, Azerbaijan",+994 12 499 8800,ritzcarlton.baku@ritzcarlton.com,www.ritzcarlton.com/baku,N/A,237 Reviews,N/A,"Spa, Club Lounge, Signature Dining",202,380$,N/A,N/A,2020,22 km,9.6,https://www.booking.com/hotel/az/ritz-carlton-baku,3.1,Not included,No free cancellation,Prepayment needed
7,Radisson Hotel ,5,"8 Nizami Street, Baku, Azerbaijan",+994 12 491 3000,radisson.baku@radisson.com,www.radissonhotels.com/baku,N/A,3772 Reviews,N/A,"Free Wi-Fi, Restaurant, Fitness Center",248,260$,N/A,N/A,2014,28 km,8.9,https://www.booking.com/hotel/az/radisson-baku,0.5,Included,Free cancellation,No prepayment needed
8,Sapphire City Hotel ,4,"20 Nigar Rafibeyli Street, Baku, Azerbaijan",+994 12 444 4949,info@sapphirecitybaku.com,www.sapphirecityhotel.com,N/A,656 Reviews,N/A,"Free Wi-Fi, Bar, Conference Facilities",42,180$,N/A,N/A,2017,30 km,8.7,https://www.booking.com/hotel/az/sapphirecitybaku,0.2,Not included,No free cancellation,Prepayment needed
9,InterContinental Baku,5,"31 Bulbul Avenue, Baku, Azerbaijan",+994 12 555 1234,intercontinental.baku@ihg.com,www.ihg.com/intercontinental/baku,N/A,1560 Reviews,N/A,"Club Lounge, Rooftop Bar, Spa",150,340$,N/A,N/A,2021,21 km,9.4,https://www.booking.com/hotel/az/intercontinental-baku,0.7,Not included,No free cancellation,Prepayment needed
10,Excelsior Hotel & Spa ,5,"2 Heydar Aliyev Avenue, Baku, Azerbaijan",+994 12 496 8000,info@excelsior.az,www.excelsior.az/en/pages/14/about-us,N/A,504 Reviews,N/A,"Spa, Indoor Pool, Fitness Center, Free Wi-Fi, Conference Facilities",61,230$,N/A,N/A,2005,25 km,4.5,https://www.booking.com/hotel/az/excelsior-baku,3,Not included,Free cancellation,No prepayment needed
11,Boulevard Hotel  Autograph Collection,5,"4C Khagani Rustamov Street, Baku White City, Baku, Azerbaijan",+994 12 310 00 10,info@boulevardhotel.com,www.boulevardhotelbaku.com,N/A,1200 Reviews,N/A,"Spa, Indoor Pool, Fitness Center, Free Wi-Fi, Conference Facilities, Restaurant, Bar, Sauna, Health & Beauty Center, Halal Food Available",818,195$,N/A,N/A,2015,20 km,8.1,https://www.booking.com/hotel/az/boulevard-hotel,4,Included,Free cancellation,No prepayment needed
12,Sheraton  Intourist Hotel,5,"51 Mikail Useynov Avenue, Baku, Azerbaijan",+994 12 437 9090,info@intouristhotel.az,www.intouristhotelbaku.com,N/A,1921 Reviews,N/A,"Spa, Fitness Center, Free Wi-Fi, Restaurant, Bar, Halal Food Available, Sauna, Health & Beauty Center",150,200$,N/A,N/A,2015,25 km,8.7,https://www.booking.com/hotel/az/intourist-hotel,1.9,Not included,No free cancellation,Prepayment needed
13,Pullman Baku,5,"1C M. Mushfig Street, Baku, Azerbaijan",+994 12 490 7000,info@pullman-baku.com,www.pullmanbaku.com,N/A,418 Reviews,N/A,"Spa, Fitness Center, Aqua Park, Indoor and Outdoor Pools, Free Wi-Fi, Conference Facilities, Restaurant, Bar",280,180$,N/A,N/A,2011,31 km,8.4,https://www.booking.com/hotel/az/pullman-baku,4.2,Included,Free cancellation,No prepayment needed
14,Kempinski Hotel Badamdar ,5,"1C Mikayil Mushfiq Street, Baku, Azerbaijan",+994 12 538 9090,info@kempinski-badamdar.com,www.kempinskihotelbadamdar.com,N/A,245 Reviews,N/A,"Spa, Indoor Pool, Fitness Center, Free Wi-Fi, Conference Facilities, Restaurant, Bar, Sauna, Beauty Center, Kids Club",280,250$,N/A,N/A,2011,31 km,8,https://www.booking.com/hotel/az/kempinski,4.5,Not included,No free cancellation,Prepayment needed
